cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	Concepticon_Gloss	Concepticon_ID	concept_url
the Seumalur 1912 list	397	ata sala sèbàl	NA	misdadiger	criminal	penjahat	606	624	251	FALSE									CRIMINAL	3875	https://concepticon.clld.org/parameters/3875
the Seumalur 1912 list	399	bahoekoem	NA	straffen	to punish	menghukum	608	625	252	FALSE									PUNISH	3649	https://concepticon.clld.org/parameters/3649
the Seumalur 1912 list	400	dèndo	NA	boete	fine	denda	609	626	253	FALSE									FINE (PENALTY)	218	https://concepticon.clld.org/parameters/218
the Seumalur 1912 list	401	sàksì	NA	getuige	witness	saksi	610	627	-	FALSE									WITNESS	1144	https://concepticon.clld.org/parameters/1144
the Seumalur 1912 list	402	hoekoeman	NA	rechter	judge	hakim	611	628	-	FALSE									JUDGE	861	https://concepticon.clld.org/parameters/861
the Seumalur 1912 list	403	aché	NA	pandeling	credit bondsman	orang tergadai	603	622	254	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	404	ngata sì màtai	NA	lijkfeest	funeral ceremony	upacara kematian, pemakaman	245	243	255	FALSE									FUNERAL	3336	https://concepticon.clld.org/parameters/3336
the Seumalur 1912 list	407/408	ma'ìta hawil	NA	huwen <unsp.> huwelijk	to marry, to take a wife, marriage [ID_407]; to marry, to take a husband, marriage [ID_408]	kawin/menikah, berbini, perkawinan [ID_407]; kawin/menikah, berlaki, perkawinan [ID_408]	246	244	258	FALSE									MARRIAGE OR WEDDING	3182	https://concepticon.clld.org/parameters/3182
the Seumalur 1912 list	410	lasa	NA	scheiden	to divorce	bercerai	247	245	260	FALSE									DIVORCE (SEPARATE)	3672	https://concepticon.clld.org/parameters/3672
the Seumalur 1912 list	411	djênamoe	NA	bruidsschat	bride price	mas kawin	248	246	261	FALSE									BRIDE PRICE	3024	https://concepticon.clld.org/parameters/3024
the Seumalur 1912 list	412	riha	NA	trouwbelofte	betrothal	perjanjian	249	247	-	FALSE									AGREEMENT	3644	https://concepticon.clld.org/parameters/3644
the Seumalur 1912 list	413	mêlànàk	NA	baren (bevallen)	to give birth to	melahirkan	250	248	262	FALSE									GIVE BIRTH	1195	https://concepticon.clld.org/parameters/1195
the Seumalur 1912 list	414	bìdàn	NA	vroedvrouw	midwife	bidan	251	249	-	FALSE									MIDWIFE	3859	https://concepticon.clld.org/parameters/3859
the Seumalur 1912 list	415	baràkkên	NA	overspel bedrijven	to commit adultery	berzinah	252	250	263	FALSE									ADULTERY	902	https://concepticon.clld.org/parameters/902
the Seumalur 1912 list	416	agêmèt	NA	lichtekooi	prostitute	pelacur	255	253	-	FALSE									PROSTITUTE	1610	https://concepticon.clld.org/parameters/1610
the Seumalur 1912 list	418	nifo tofi	NA	masker	mask	topeng	254	252	264	FALSE									MASK	2005	https://concepticon.clld.org/parameters/2005
the Seumalur 1912 list	419	vì'olà	NA	viool (rebab)	violin	biola (rebab)	256	254	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	420	toetoe a'oe sànkadoe	NA	fluit	flute	suling	257	255	265	FALSE									FLUTE	777	https://concepticon.clld.org/parameters/777
the Seumalur 1912 list	421	tamboer	NA	trom	drum	genderang	258	256	266	FALSE									DRUM	908	https://concepticon.clld.org/parameters/908
the Seumalur 1912 list	422	gendang	NA	tamboerijn	tambourine	tambur	259	257	-	FALSE									TAMBOURINE	3141	https://concepticon.clld.org/parameters/3141
the Seumalur 1912 list	423	gàmbàng	NA	gambang	xylophone	gambang	260	258	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	391	labòh	32	geluk	happiness	kebahagiaan	210	213	-	FALSE			oentoeng				Malay		HAPPINESS	2941	https://concepticon.clld.org/parameters/2941
the Seumalur 1912 list	424	gong	33	gong	gong	gong	261	259	-	FALSE			sanang				small		GONG	2502	https://concepticon.clld.org/parameters/2502
the Seumalur 1912 list	426	iōop	NA	mondtrom	Jew's harp	ginggung (genggong)	262	260	268	FALSE									JEW'S HARP	3319	https://concepticon.clld.org/parameters/3319
the Seumalur 1912 list	427	bantjé	NA	hoorn	horn	terompet	263	261	-	FALSE									HORN (INSTRUMENT)	939	https://concepticon.clld.org/parameters/939
the Seumalur 1912 list	428	bêsilēh	NA	dansen	to dance	menari	264	262	269	TRUE	dance								DANCE	1879	https://concepticon.clld.org/parameters/1879
the Seumalur 1912 list	432	mêlajam	NA	spelen	to play	bermain	-	263	273	TRUE	play								PLAY	1413	https://concepticon.clld.org/parameters/1413
the Seumalur 1912 list	433	dadoe	NA	tol	top	gasing	-	264	274	FALSE									TOP	1753	https://concepticon.clld.org/parameters/1753
the Seumalur 1912 list	437	loemah	34	huis	house	rumah	265	265	278	FALSE			loemah				Lakun (L)		HOUSE	1252	https://concepticon.clld.org/parameters/1252
the Seumalur 1912 list	437	noehaj	34	huis	house	rumah	265	265	278	FALSE			noehaj				East <?> Seumalur (OS)		HOUSE	1252	https://concepticon.clld.org/parameters/1252
the Seumalur 1912 list	438	djabor	NA	hut (op het veld enz.)	hut, shelter	pondok	266	266	279	FALSE									HUT	1678	https://concepticon.clld.org/parameters/1678
the Seumalur 1912 list	440	titin tiō'	NA	nok van het dak	ridge of roof	bubungan	-	267	280	FALSE									RIDGEPOLE	280	https://concepticon.clld.org/parameters/280
the Seumalur 1912 list	441	taloep	NA	dakbedekking atap:	roofing: thatch	atap	268	268	281	FALSE									THATCH	279	https://concepticon.clld.org/parameters/279
the Seumalur 1912 list	442	boeboeng	NA	dakbedekking: gespleten bamboe	roofing: bamboo lath	atap: bilah, pelupuh bambu	268	268	-	FALSE									THATCH	279	https://concepticon.clld.org/parameters/279
the Seumalur 1912 list	446	àssau	NA	dakspar	rafter	kasau	-	270	282	FALSE									RAFTER	829	https://concepticon.clld.org/parameters/829
the Seumalur 1912 list	449	bintoe	NA	deur	door	daun pintu	270	271	-	FALSE									DOOR	1567	https://concepticon.clld.org/parameters/1567
the Seumalur 1912 list	451	tinkàp	NA	venster	window	jendela	271	272	-	FALSE									WINDOW	1375	https://concepticon.clld.org/parameters/1375
the Seumalur 1912 list	452	lawillì	NA	hoek	corner	sudut	-	273	286	FALSE									CORNER	192	https://concepticon.clld.org/parameters/192
the Seumalur 1912 list	453	doeha'àn	NA	trap	staircase, steps	tangga, anak tangga	272	274	287	FALSE		add. anak tangga							STAIRS	34	https://concepticon.clld.org/parameters/34
the Seumalur 1912 list	454	eiêràn	NA	ladder	ladder	tangga	273	275	287	FALSE									LADDER	1464	https://concepticon.clld.org/parameters/1464
the Seumalur 1912 list	456	la'ot boeloe	NA	vloer (van gespleten bamboe)	floor (made from bamboo lath)	lantai (dari bambu)	274	276	-	FALSE									FLOOR	1632	https://concepticon.clld.org/parameters/1632
the Seumalur 1912 list	457	la'ot ajoe ajoe	NA	vloer (van hout)	floor (made from wood)	lantai (dari kayu)	274	276	-	FALSE									FLOOR	1632	https://concepticon.clld.org/parameters/1632
the Seumalur 1912 list	458	dindin àhàn	NA	omwanding (planken)	wall (plank wall)	dinding (papan)	275	277	-	FALSE									WALL	3830	https://concepticon.clld.org/parameters/3830
the Seumalur 1912 list	459	dindin boeloe	NA	omwanding (bamboe)	wall (bamboo wall)	dinding (bilik)	275	277	-	FALSE									WALL	3830	https://concepticon.clld.org/parameters/3830
the Seumalur 1912 list	461	tongga	NA	hoofdstijlen	main posts	tiang rumah	276	278	292	FALSE									COLUMN	2045	https://concepticon.clld.org/parameters/2045
the Seumalur 1912 list	462	sìgèndèng	NA	zolderbalken	ceiling beams	langit-langit rumah, tutup jenang	277	279	293	FALSE									COLUMN	2045	https://concepticon.clld.org/parameters/2045
the Seumalur 1912 list	464	koeraboe	NA	gordijn	curtain	tirai	281	282	-	FALSE									CURTAIN	2621	https://concepticon.clld.org/parameters/2621
the Seumalur 1912 list	465	bènoh moeroeh	NA	slaapplaats	sleeping place	kamar tidur	282	283	-	FALSE									BEDROOM	2505	https://concepticon.clld.org/parameters/2505
the Seumalur 1912 list	437	noehij?	34	huis	house	rumah	265	265	278	FALSE			noehij?				East <?> Seumalur (OS)		HOUSE	1252	https://concepticon.clld.org/parameters/1252
the Seumalur 1912 list	468	tohol	35	ligmatje	sleeping mat	tikar	296	297	295	FALSE			tohol				small		MATTRESS	105	https://concepticon.clld.org/parameters/105
the Seumalur 1912 list	468	làlàp	35	ligmatje	sleeping mat	tikar	296	297	295	FALSE			làlàp				large		MATTRESS	105	https://concepticon.clld.org/parameters/105
the Seumalur 1912 list	469	bàntàl	NA	hoofdkussen	pillow	bantal	291	293	296	FALSE									PILLOW	1044	https://concepticon.clld.org/parameters/1044
the Seumalur 1912 list	470	pêrêto	36	zit-en ligplaats	couch	bale-bale	283	284	297	FALSE			soerau	couch					SOFA	3099	https://concepticon.clld.org/parameters/3099
the Seumalur 1912 list	471	bale²	NA	pendopo	front verandah	pendopo	284	285	-	FALSE									PORCH	3269	https://concepticon.clld.org/parameters/3269
the Seumalur 1912 list	472/473	ala	NA	zolder, zolderrek <unsp.>	attic (under the roof) [ID_472]; rack above the fireplace [ID_473]	loteng [ID_472]; para-para [ID_473]	285	286	-	FALSE									NA	NA	NA
the Seumalur 1912 list	474	avoe	NA	kookplaats	hearth, fireplace	dapur, tungku	286	287	300	FALSE									FIREPLACE	185	https://concepticon.clld.org/parameters/185
the Seumalur 1912 list	475	ahé	NA	vuur	fire	api	287	288	301	TRUE									FIRE	221	https://concepticon.clld.org/parameters/221
the Seumalur 1912 list	476	aho'i sèbě	NA	brand	fire	api, kebakaran	288	289	-	TRUE									FIRE	221	https://concepticon.clld.org/parameters/221
the Seumalur 1912 list	477	metoetoeng	37	vuur aanleggen	to make a fire	memasang api	287	288	302	FALSE							fire has been lit		LIGHT (IGNITE)	737	https://concepticon.clld.org/parameters/737
the Seumalur 1912 list	478	boenoeahé	NA	vuur blussen	to extinguish (with water)	memadamkan api (dengan air)	287	288	-	FALSE									EXTINGUISH	127	https://concepticon.clld.org/parameters/127
the Seumalur 1912 list	482	tèbêl	NA	rook	smoke	asap	-	290	306	TRUE									SMOKE (EXHAUST)	778	https://concepticon.clld.org/parameters/778
the Seumalur 1912 list	483	la'àl	NA	as	ashes	abu	289	291	307	TRUE									ASH	646	https://concepticon.clld.org/parameters/646
the Seumalur 1912 list	484	awin	NA	brandhout	fire wood	kayu api	290	292	308	FALSE									FIREWOOD	10	https://concepticon.clld.org/parameters/10
the Seumalur 1912 list	485	mètoetoeng	NA	aansteken (licht)	to put on (light)	menyalakan (sinar)	293	295	-	FALSE									LIGHT (IGNITE)	737	https://concepticon.clld.org/parameters/737
the Seumalur 1912 list	486	mêmoenoeh	NA	uitdoen (licht)	to put off (light)	memadamkan (sinar)	294	296	-	FALSE									EXTINGUISH	127	https://concepticon.clld.org/parameters/127
the Seumalur 1912 list	487	arab bateuh	38	ruimte onder het huis	space under the house	kolong rumah	278	280	309	FALSE			arab bateuh				Lakun (L)		AREA UNDER HOUSE	2632	https://concepticon.clld.org/parameters/2632
the Seumalur 1912 list	487	aleum bateuh	38	ruimte onder het huis	space under the house	kolong rumah	278	280	309	FALSE			aleum bateuh				East <?> Seumalur (OS)		AREA UNDER HOUSE	2632	https://concepticon.clld.org/parameters/2632
the Seumalur 1912 list	488	koeraboe	NA	bedgordijn	bed curtain	kelambu	297	298	-	FALSE									CURTAIN	2621	https://concepticon.clld.org/parameters/2621
the Seumalur 1912 list	489	bàngkoe	NA	zitbankje	bench, seat	bangku untuk duduk	298	299	-	FALSE									BENCH	2584	https://concepticon.clld.org/parameters/2584
the Seumalur 1912 list	493	balàng	NA	pan (ijzeren)	pot (iron)	kuali (besi), panci (besi)	310	312	-	FALSE									POT	1462	https://concepticon.clld.org/parameters/1462
the Seumalur 1912 list	494	balàng	NA	pan (aarden)	pot (earthenware)	panci, kuali (tanah liat)	311	313	-	FALSE									CLAY POT	2055	https://concepticon.clld.org/parameters/2055
the Seumalur 1912 list	495/496	borì'oh	NA	rijstketel <unsp.>	rice kettle (copper) [ID_495]; rice kettle (earthenware) [ID_496]	dandang [ID_495]; kundia [ID_496]	312	314	-	FALSE									NA	NA	NA
the Seumalur 1912 list	497	inkân	NA	bord	dish	piring	313	315	313	FALSE									PLATE	480	https://concepticon.clld.org/parameters/480
the Seumalur 1912 list	498	sànkir	NA	kopje	cup	cangkir	314	316	-	FALSE									CUP	476	https://concepticon.clld.org/parameters/476
the Seumalur 1912 list	499	banoné	NA	drinknap	drinking bowl	tempat minum	315	317	314	FALSE									CUP	476	https://concepticon.clld.org/parameters/476
the Seumalur 1912 list	501-503	inkân	NA	schotel <unsp. >	saucer (earthenware) [ID_501]; small saucer (earthenware) [ID_502]; copper saucer [ID_503]	pinggan [ID_501]; pinggan kecil [ID_502]; pinggan tembaga [ID_503]	317	318	-	FALSE									NA	NA	NA
the Seumalur 1912 list	505	bìso	39	mes	knife	pisau	299	300	317	FALSE							the weapons are identical to those used in Aceh. It is a great honour to carry a rentjong, and therefore not at all sign of enmity		KNIFE	1352	https://concepticon.clld.org/parameters/1352
the Seumalur 1912 list	506	kalobàng	NA	hakmes	chopper	parang	300	301	318	FALSE									CLEAVER	3067	https://concepticon.clld.org/parameters/3067
the Seumalur 1912 list	507	rentjong	NA	dolk (kris)	kris	keris	302	304	-	FALSE									SWORD	1535	https://concepticon.clld.org/parameters/1535
the Seumalur 1912 list	507	leng?	NA	dolk (kris)	kris	keris	302	304	-	FALSE									SWORD	1535	https://concepticon.clld.org/parameters/1535
the Seumalur 1912 list	508	sirawe	NA	dolk (badi-badi)	dagger	golok	303	305	-	FALSE									SMALL KNIFE	3233	https://concepticon.clld.org/parameters/3233
the Seumalur 1912 list	509	patoh	NA	bijl	axe, hatchet	kapak	-	306	476	FALSE									AXE	677	https://concepticon.clld.org/parameters/677
the Seumalur 1912 list	510	sodo	NA	lepel	spoon	sendok	318	319	319	FALSE									SPOON	1378	https://concepticon.clld.org/parameters/1378
the Seumalur 1912 list	511	sodo	NA	scheplepel, schepper	ladle	ciduk, sendok	319	320	320	FALSE									LADLE	2657	https://concepticon.clld.org/parameters/2657
the Seumalur 1912 list	513	abé wèh	NA	water halen	to fetch water	mengambil air	-	583	322	FALSE									DRAW (WATER)	1911	https://concepticon.clld.org/parameters/1911
the Seumalur 1912 list	514	kating	40	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE							(imported); the people ( the men ) make quite excellent baskets; originally however baskets were unknown in this area		BASKET	1539	https://concepticon.clld.org/parameters/1539
the Seumalur 1912 list	515	làmpoe	NA	lamp	lamp	lampu	321	322	324	FALSE									LAMP	625	https://concepticon.clld.org/parameters/625
the Seumalur 1912 list	516	anàk lampoe	NA	lampepit	lamp wick	sumbu lampu	322	323	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	517	soeloe	NA	fakkel	torch	suluh	323	324	325	FALSE									TORCH	1919	https://concepticon.clld.org/parameters/1919
the Seumalur 1912 list	519	salàpa	NA	doos	box, case	kotak, dos	327	328	-	FALSE									BOX OR CHEST	3150	https://concepticon.clld.org/parameters/3150
the Seumalur 1912 list	520	bêtì	NA	kist voor kleren	case for cloth	peti pakaian	324	325	-	FALSE									WARDROBE	3106	https://concepticon.clld.org/parameters/3106
the Seumalur 1912 list	522	kaseh	41	pot	pot, jar	periuk	325	326	-	FALSE							East <?> Seumalur (OS)		POT	1462	https://concepticon.clld.org/parameters/1462
the Seumalur 1912 list	525-527	mèntja	NA	koken <unsp.>	to cook in bamboo container [ID_525]; to cook (in pot) [ID_526]; to steam [ID_527]	melemang [ID_525]; merebus [ID_526]; mengukus [ID_527]	328	329	330	FALSE									COOK (SOMETHING)	1100	https://concepticon.clld.org/parameters/1100
the Seumalur 1912 list	528	sàngàl	NA	braden	to bake, to grill, to fry	membakar, panggang menggoreng (dengan minyak)	329	330	-	FALSE									BAKE	183	https://concepticon.clld.org/parameters/183
the Seumalur 1912 list	529	disàmbum	NA	poffen	to roast (in ashes)	bembam	330	331	331	FALSE									ROAST (SOMETHING)	1962	https://concepticon.clld.org/parameters/1962
the Seumalur 1912 list	530	sìnoetoeng	NA	roosteren	to grill, to roast	panggang	331	332	332	FALSE									ROAST (SOMETHING)	1962	https://concepticon.clld.org/parameters/1962
the Seumalur 1912 list	531	sàngàl	NA	bakken	to bake	membakar	-	-	333	FALSE									BAKE	183	https://concepticon.clld.org/parameters/183
the Seumalur 1912 list	532	mêta	NA	gaar	done	masak	-	-	334	FALSE									RIPE OR COOKED	3806	https://concepticon.clld.org/parameters/3806
the Seumalur 1912 list	534	màkànàn	NA	spijs(eten)	food	makanan	332	333	336	FALSE									FOOD	256	https://concepticon.clld.org/parameters/256
the Seumalur 1912 list	535	màkànàn blàndjò	NA	reisvoorraad, proviand	provisions	bekal	333	334	337	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	536	dí'aróko	NA	toespijs	side-dish	lauk-pauk	334	335	-	FALSE									PREPARED FOOD	3542	https://concepticon.clld.org/parameters/3542
the Seumalur 1912 list	537	boelong²	NA	groente	vegetables	sayuran	344	346	338	FALSE									VEGETABLES	924	https://concepticon.clld.org/parameters/924
the Seumalur 1912 list	539	bántai	NA	vlees (rauw)	meat (raw)	daging (mentah)	335	336	-	FALSE									FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615
the Seumalur 1912 list	540	dèndèng	NA	gedroogd vlees	dried meat	dendeng	335	336	340	FALSE									MEAT	634	https://concepticon.clld.org/parameters/634
the Seumalur 1912 list	541	nai	NA	vis (in het algemeen of in tegenstelling van vlees)	fish	ikan	336/404	337	341	TRUE									FISH	227	https://concepticon.clld.org/parameters/227
the Seumalur 1912 list	543	borai	41	rijst in de halm	harvested rice	padi yang sudah diketam	-	338	343	FALSE							East <?> Seumalur (OS)		UNCOOKED RICE	3289	https://concepticon.clld.org/parameters/3289
the Seumalur 1912 list	544	lajàp	41	gepelde rauwe rijst	husked rice	beras	337	338	344	FALSE							East <?> Seumalur (OS)		RICE	926	https://concepticon.clld.org/parameters/926
the Seumalur 1912 list	546	aha'ì	NA	padi	unhusked rice	padi	454	456	-	FALSE									UNHUSKED RICE	2749	https://concepticon.clld.org/parameters/2749
the Seumalur 1912 list	547	koewauw	NA	halm	stalk	tangkai padi, batang padi	455	457	346	FALSE									PLANT STEM	2628	https://concepticon.clld.org/parameters/2628
the Seumalur 1912 list	548	bini	NA	aar	ear of rice, corn	bulir, mayang	456	458	347	FALSE									GRAIN	605	https://concepticon.clld.org/parameters/605
the Seumalur 1912 list	549	kapok	42	rijstschuur, padischuur	rice barn	lumbung beras, lumbung padi	279	281	348	FALSE			goedang	shed					GRANARY	3657	https://concepticon.clld.org/parameters/3657
the Seumalur 1912 list	550/551	lêsom	NA	rijstblok, stamper <unsp.>	rice pounder, mortar [ID_550]; pounder [ID_551]	lesung [ID_550]; alu [ID_551]	338	339	-	FALSE									NA	NA	NA
the Seumalur 1912 list	553	alingka	NA	wan	sieve for rice	nyiru	-	340	352	FALSE									SIEVE (TOOL)	3353	https://concepticon.clld.org/parameters/3353
the Seumalur 1912 list	554	alímí	NA	kaf	chaff	sekam	-	341	353	FALSE									CHAFF (HUSK)	2363	https://concepticon.clld.org/parameters/2363
the Seumalur 1912 list	555	èchélingan	NA	malen	to grind	menggiling	339	342	354	FALSE									GRIND	1033	https://concepticon.clld.org/parameters/1033
the Seumalur 1912 list	561	bìnor	NA	pap	porridge	bubur	340	343	-	FALSE									CONGEE	2049	https://concepticon.clld.org/parameters/2049
the Seumalur 1912 list	562	lada	NA	peper (zwarte)	black pepper	lada hitam	342	344	-	FALSE									PEPPER	1385	https://concepticon.clld.org/parameters/1385
the Seumalur 1912 list	563	asìla	NA	zout (subst.)	salt	garam	343	345	360	TRUE									SALT	1274	https://concepticon.clld.org/parameters/1274
the Seumalur 1912 list	565	ènnèn gêdang	NA	sarong	sarong	sarung	415	418	369	FALSE									SARONG	2413	https://concepticon.clld.org/parameters/2413
the Seumalur 1912 list	567	salòntjòng	NA	broek	trousers	celana	416	419	371	FALSE									TROUSERS	809	https://concepticon.clld.org/parameters/809
the Seumalur 1912 list	569/570	badoe	NA	baadje <unsp.>	jacket (for women) [ID_569]; jacket (for men) [ID_570]	baju perempuan [ID_569]; baju laki-laki [ID_570]	-	420	372	FALSE									NA	NA	NA
the Seumalur 1912 list	571/572	bèrèpok	NA	hoofddoek <unsp.>	head cloth (for women) [ID_571]; head cloth (for men) [ID_572]	ikat kepala perempuan [ID_571]; ikat kepala laki-laki [ID_572]	-	421	373	FALSE									NA	NA	NA
the Seumalur 1912 list	573	sol	NA	kam	comb	sisir	418	422	374	FALSE									COMB	1475	https://concepticon.clld.org/parameters/1475
the Seumalur 1912 list	576	sinsin	NA	ring	ring	cincin	419	423	-	FALSE									RING	1374	https://concepticon.clld.org/parameters/1374
the Seumalur 1912 list	577	bèrètawa	NA	buik band	waist belt/band	ikat pinggang	421	425	-	FALSE									BELT	772	https://concepticon.clld.org/parameters/772
the Seumalur 1912 list	578	bèrètawa bêsí	NA	buik band van metaal	metal waist band	ikat pinggang dari logam	421	425	-	FALSE									BELT	772	https://concepticon.clld.org/parameters/772
the Seumalur 1912 list	579	garian kou	NA	band of ring (arm)	arm ring, bracelet	gelang tangan	420	424	377	FALSE									BRACELET	1754	https://concepticon.clld.org/parameters/1754
the Seumalur 1912 list	580	garian kaoe	NA	band of ring (enkel)	anklet	gelang laki	420	424	377	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	582	koeraboe	43	oorring	earring	anting-anting	422	426	-	FALSE			koeraboe				a small one		EARRING	770	https://concepticon.clld.org/parameters/770
the Seumalur 1912 list	582	soebàng	43	oorring	earring	anting-anting	422	426	-	FALSE			koeraboe				a small one		EARRING	770	https://concepticon.clld.org/parameters/770
the Seumalur 1912 list	583	soebàng	NA	oorknop	earclip	subang	423	427	-	FALSE									EARRING	770	https://concepticon.clld.org/parameters/770
the Seumalur 1912 list	586	ènnèn bêsahàn	NA	slendang	shawl	selendang	424	428	-	FALSE									SHAWL	2771	https://concepticon.clld.org/parameters/2771
the Seumalur 1912 list	588	saping	NA	schaamgordel (soorten)	loin cloth	cawat	425	429	382	FALSE									LOINCLOTH	1965	https://concepticon.clld.org/parameters/1965
the Seumalur 1912 list	589	ènèn	44	katoenen weefsel (inheems, europees)	cotton fabric (local, European)	tenunan kapas (asli, Eropa)	426	430	383	FALSE							imported; the art of weaving is not known here		CLOTH	1616	https://concepticon.clld.org/parameters/1616
the Seumalur 1912 list	590	soeto	NA	zijde	silk	sutera	427	431	-	FALSE									SILK	1641	https://concepticon.clld.org/parameters/1641
the Seumalur 1912 list	593	soeri	NA	weven	to weave	bertenun	562	569	384	FALSE									WEAVE	133	https://concepticon.clld.org/parameters/133
the Seumalur 1912 list	594	soeri banoné	45	weefgetouw (kam)	loom (meed)	sisir tenun	564	571	-	FALSE			soeri banoné						LOOM	1787	https://concepticon.clld.org/parameters/1787
the Seumalur 1912 list	594	soeri	45	weefgetouw (kam)	loom (meed)	sisir tenun	564	571	-	FALSE			soeri						LOOM	1787	https://concepticon.clld.org/parameters/1787
the Seumalur 1912 list	595	soeri banoné	45	weefgetouw (spoel)	loom (weaving spool)	kumparan benang	564	571	-	FALSE			soeri banoné						THREAD	1161	https://concepticon.clld.org/parameters/1161
the Seumalur 1912 list	595	soeri	45	weefgetouw (spoel)	loom (weaving spool)	kumparan benang	564	571	-	FALSE			soeri						THREAD	1161	https://concepticon.clld.org/parameters/1161
the Seumalur 1912 list	596	soeri banoné	45	weefgetouw (schering)	loom (warp)	lungsin	564	571	-	FALSE			soeri banoné						LOOM	1787	https://concepticon.clld.org/parameters/1787
the Seumalur 1912 list	596	soeri	45	weefgetouw (schering)	loom (warp)	lungsin	564	571	-	FALSE			soeri						LOOM	1787	https://concepticon.clld.org/parameters/1787
the Seumalur 1912 list	597	soeri banoné	45	weefgetouw (inslag)	loom (weft)	pakan	564	571	-	FALSE			soeri banoné						NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	597	soeri	45	weefgetouw (inslag)	loom (weft)	pakan	564	571	-	FALSE			soeri						NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	594-597	tali soeri	NA	weefgetouw <unsp.>	loom (meed) [ID_594]; loom (weaving spool) [ID_595]; loom (warp) [ID_596]; loom (weft) [ID_597]	sisir tenun [ID_594]; kumparan benang [ID_595]; lungsin [ID_596]; pakan [ID_597]	563	570	385	FALSE									NA	NA	NA
the Seumalur 1912 list	600	magamàn	NA	vlechten	to weave, to plait	menganyam	430	432	388	FALSE									BRAID (VERB) OR WEAVE (BASKET)	3294	https://concepticon.clld.org/parameters/3294
the Seumalur 1912 list	601	màngòjot	NA	touwdraaien	to twine a rope	memintal tali	431	433	389	FALSE									SPIN	121	https://concepticon.clld.org/parameters/121
the Seumalur 1912 list	602	tali	NA	touw	rope	tali	558	565	390	TRUE									ROPE	1218	https://concepticon.clld.org/parameters/1218
the Seumalur 1912 list	603	bênàng	NA	garen	thread, yarn	benang	559	566	-	FALSE									THREAD	1161	https://concepticon.clld.org/parameters/1161
the Seumalur 1912 list	604	boebado	NA	knopen (van netten, een knoop leggen)	to knot, to knit	merajut, menyirat	561	568	391	FALSE									KNOT	760	https://concepticon.clld.org/parameters/760
the Seumalur 1912 list	605/606	beti be'be	46	tas of zak <unsp.>	bag (woven bag) [ID_605]; bag (made from rope) [ID_606]	tas (dari bahan tenun) [ID_605]; tas (dari tali) [ID_606]	432	434	392	FALSE			beti bébe				leather		NA	NA	NA
the Seumalur 1912 list	605/606	beti ainèn	46	tas of zak <unsp.>	bag (woven bag) [ID_605]; bag (made from rope) [ID_606]	tas (dari bahan tenun) [ID_605]; tas (dari tali) [ID_606]	432	434	392	FALSE			beti ainèn				woven material		NA	NA	NA
the Seumalur 1912 list	608	bendang	NA	zwaard (houwer)	sabre	parang, kelewang	301	302	-	FALSE									SWORD	1535	https://concepticon.clld.org/parameters/1535
the Seumalur 1912 list	609	sabong	NA	schede	sheath	sarung pedang	-	303	394	FALSE									SHEATH	3424	https://concepticon.clld.org/parameters/3424
the Seumalur 1912 list	611	tome?	NA	piek, lans, werpspeer	pike, lance, javelin	tombak, lembing	304	307	396	TRUE	spear (war)								SPEAR	945	https://concepticon.clld.org/parameters/945
the Seumalur 1912 list	612	toetoea'oe	NA	blaasroer	blow-pipe	sumpitan	305	308	397	FALSE									BLOWGUN	432	https://concepticon.clld.org/parameters/432
the Seumalur 1912 list	613-616	bendil	47	boog <unsp.>	bow [ID_613]; bowstring [ID_614]; arrow [ID_615]; quiver [ID_616]	busur [ID_613]; tali busur [ID_614]; anak panah [ID_615]; tempat anak panah [ID_616]	306	309	-	FALSE							Lakun (L)		NA	NA	NA
the Seumalur 1912 list	617	parìsa'i	NA	schild	shield	perisai	307	310	401	FALSE									SHIELD	1064	https://concepticon.clld.org/parameters/1064
the Seumalur 1912 list	619	marì'âm	NA	lila	kind of small cannon	sejenis kanon kecil	620	634	-	FALSE									CANNON	3202	https://concepticon.clld.org/parameters/3202
the Seumalur 1912 list	620	bêdíl	NA	geweer	rifle	bedil (senapan)	621	635	402	FALSE									PISTOL	3881	https://concepticon.clld.org/parameters/3881
the Seumalur 1912 list	621	ovat bêdil	NA	kruit	gun powder	obat bedil	622	636	403	FALSE									GUNPOWDER	1798	https://concepticon.clld.org/parameters/1798
the Seumalur 1912 list	622	anák bêdil	NA	kogel	bullet	peluru	623	637	404	FALSE									BULLET	1114	https://concepticon.clld.org/parameters/1114
